Dataset	Domains	Int insec	Mix int sec	Int sec	Ext insec	Mix ext sec	Ext sec	All insec	Mix sec	All sec
dk.2014-07-23.random.10000-http	7180	0.9972030981067126	0.000430292598967319	0.0023666092943201377	0.640293990488543	0.3311716385646347	0.028534370946822308	0.7530681650155256	0.23465917492237176	0.012272660062102618
dk.2014-07-23.random.10000-http-www	7378	0.9974805794667226	0.000629855133319368	0.0018895653999580096	0.6327257490048188	0.3373140582442907	0.029960192750890426	0.7464687229749207	0.24113577399827035	0.012395503026808878
dk.2014-07-23.random.10000-https	23	0.22727272727272727	0.1818181818181818	0.5909090909090909	0.0625	0.25	0.6875	0.08695652173913043	0.3478260869565218	0.5652173913043478
dk.2014-07-23.random.10000-https-www	32	0.1724137931034483	0.2068965517241379	0.6206896551724138	0.13636363636363635	0.31818181818181823	0.5454545454545454	0.1	0.3666666666666667	0.5333333333333333
net.2014-08-29.random.10000-http	7270	0.99774173680969	0.0008211866146581315	0.0014370765756518168	0.7760986624978288	0.21191592843494866	0.011985409067222511	0.806581899775617	0.18548990276738975	0.00792819745699327
net.2014-08-29.random.10000-http-www	7378	0.9979453462091638	0.0008218615163344545	0.0012327922745017466	0.7759890392190444	0.21116629559856137	0.012844665182394245	0.8063515509601181	0.18522895125553918	0.008419497784342688
net.2014-08-29.random.10000-https	26	0.15384615384615385	0.1923076923076923	0.6538461538461539	0	0.375	0.625	0.038461538461538464	0.3846153846153847	0.5769230769230769
net.2014-08-29.random.10000-https-www	28	0.16	0.24000000000000002	0.6	0.05	0.39999999999999997	0.55	0	0.5	0.5
reach50.2014w35.se-http	43	0.8292682926829268	0.09756097560975618	0.07317073170731707	0.4418604651162791	0.4418604651162791	0.11627906976744186	0.4418604651162791	0.5116279069767442	0.046511627906976744
reach50.2014w35.se-http-www	42	0.7948717948717948	0.07692307692307698	0.1282051282051282	0.4523809523809524	0.42857142857142855	0.11904761904761904	0.4523809523809524	0.4523809523809524	0.09523809523809523
reach50.2014w35.se-https	18	0.25	0.0625	0.6875	0.11764705882352941	0.47058823529411764	0.4117647058823529	0.1111111111111111	0.4444444444444445	0.4444444444444444
reach50.2014w35.se-https-www	26	0.34782608695652173	0.04347826086956519	0.6086956521739131	0.19230769230769232	0.3846153846153846	0.4230769230769231	0.19230769230769232	0.3846153846153846	0.4230769230769231
se.2014-07-10.random.100000-http	73605	0.9970844131803036	0.0008561643835616195	0.002059422436134765	0.4924018803979447	0.3829488721256514	0.12464924747640392	0.6027914263334045	0.30432243822545035	0.09288613544114506
se.2014-07-10.random.100000-http-www	77261	0.9971972104519774	0.0006179378531073754	0.002184851694915254	0.501485742089075	0.37769127843328065	0.12082297947764437	0.6101375106899969	0.2997678743535097	0.09009461495649342
se.2014-07-10.random.100000-https	282	0.12547528517110265	0.1596958174904943	0.714828897338403	0.06637168141592921	0.331858407079646	0.6017699115044248	0.04428044280442804	0.34686346863468637	0.6088560885608856
se.2014-07-10.random.100000-https-www	328	0.15112540192926044	0.14147909967845657	0.707395498392283	0.10526315789473684	0.3263157894736842	0.5684210526315789	0.08074534161490683	0.35714285714285715	0.562111801242236
se.healthstatus.2013.counties-http	18	0.9444444444444444	0.05555555555555558	0	0.6111111111111112	0.38888888888888884	0	0.6111111111111112	0.38888888888888884	0
se.healthstatus.2013.counties-http-www	21	0.95	0.050000000000000044	0	0.6190476190476191	0.38095238095238093	0	0.6190476190476191	0.38095238095238093	0
se.healthstatus.2013.counties-https	3	0.6666666666666666	1.1102230246251565e-16	0.3333333333333333	0.6666666666666666	0.33333333333333337	0	0.6666666666666666	0.33333333333333337	0
se.healthstatus.2013.counties-https-www	6	0.3333333333333333	5.551115123125783e-17	0.6666666666666666	0.4	0.19999999999999996	0.4	0.3333333333333333	0.16666666666666669	0.5
se.healthstatus.2013.domain-registrars-http	127	0.7870370370370371	0.09259259259259256	0.12037037037037036	0.5370370370370371	0.34259259259259256	0.12037037037037036	0.552	0.352	0.096
se.healthstatus.2013.domain-registrars-http-www	134	0.7894736842105263	0.08771929824561409	0.12280701754385964	0.5132743362831859	0.37168141592920356	0.11504424778761062	0.5447761194029851	0.35820895522388063	0.09701492537313433
se.healthstatus.2013.domain-registrars-https	40	0.1794871794871795	0.2051282051282051	0.6153846153846154	0.14705882352941177	0.2647058823529411	0.5882352941176471	0.1	0.32500000000000007	0.575
se.healthstatus.2013.domain-registrars-https-www	42	0.15	0.17499999999999996	0.675	0.08333333333333333	0.27777777777777785	0.6388888888888888	0.07142857142857142	0.33333333333333337	0.5952380952380952
se.healthstatus.2013.financial-services-http	67	0.819672131147541	0.13114754098360648	0.04918032786885246	0.6119402985074627	0.22388059701492535	0.16417910447761194	0.582089552238806	0.3731343283582089	0.04477611940298507
se.healthstatus.2013.financial-services-http-www	72	0.828125	0.078125	0.09375	0.6197183098591549	0.22535211267605637	0.15492957746478872	0.5972222222222222	0.3055555555555556	0.09722222222222222
se.healthstatus.2013.financial-services-https	16	0.06666666666666667	0.1333333333333333	0.8	0.0625	0.375	0.5625	0.0625	0.4375	0.5
se.healthstatus.2013.financial-services-https-www	31	0.13333333333333333	0.09999999999999995	0.7666666666666667	0.0967741935483871	0.29032258064516125	0.6129032258064516	0.0967741935483871	0.32258064516129026	0.5806451612903226
se.healthstatus.2013.gocs-http	49	0.9772727272727273	0	0.022727272727272728	0.5	0.47916666666666663	0.020833333333333332	0.5102040816326531	0.4693877551020408	0.02040816326530612
se.healthstatus.2013.gocs-http-www	57	0.98	0	0.02	0.509090909090909	0.4727272727272728	0.01818181818181818	0.5263157894736842	0.45614035087719296	0.017543859649122806
se.healthstatus.2013.gocs-https	4	0.25	0	0.75	0	0.25	0.75	0	0.25	0.75
se.healthstatus.2013.gocs-https-www	9	0	0.11111111111111116	0.8888888888888888	0	0.4444444444444444	0.5555555555555556	0	0.5555555555555556	0.4444444444444444
se.healthstatus.2013.higher-education-http	40	0.8974358974358975	0.10256410256410253	0	0.7105263157894737	0.2894736842105263	0	0.65	0.35	0
se.healthstatus.2013.higher-education-http-www	47	0.8913043478260869	0.10869565217391308	0	0.6818181818181818	0.31818181818181823	0	0.6382978723404256	0.36170212765957444	0
se.healthstatus.2013.higher-education-https	9	0.2222222222222222	0.44444444444444453	0.3333333333333333	0.3333333333333333	0.3333333333333334	0.3333333333333333	0.1111111111111111	0.6666666666666667	0.2222222222222222
se.healthstatus.2013.higher-education-https-www	24	0.25	0.08333333333333337	0.6666666666666666	0.20833333333333334	0.3749999999999999	0.4166666666666667	0.20833333333333334	0.3749999999999999	0.4166666666666667
se.healthstatus.2013.isps-http	18	0.7647058823529411	0.11764705882352944	0.11764705882352941	0.3888888888888889	0.49999999999999994	0.1111111111111111	0.3333333333333333	0.5555555555555556	0.1111111111111111
se.healthstatus.2013.isps-http-www	19	0.7894736842105263	0.10526315789473684	0.10526315789473684	0.3684210526315789	0.5789473684210527	0.05263157894736842	0.3157894736842105	0.6315789473684211	0.05263157894736842
se.healthstatus.2013.isps-https	6	0.3333333333333333	0.16666666666666669	0.5	0	0.6666666666666667	0.3333333333333333	0	0.6666666666666667	0.3333333333333333
se.healthstatus.2013.isps-https-www	10	0.3	0.2	0.5	0.1	0.5	0.4	0	0.7	0.3
se.healthstatus.2013.media-http	26	0.9583333333333334	0.04166666666666663	0	0.16	0.84	0	0.19230769230769232	0.8076923076923077	0
