Dataset	Domains	With R	DWR/D	R/DWR	I	E	Mix I+E	Insec	Sec	Mix sec	Final sec	Mism
net.2014-08-29.random.10000-http	7270	2108	0.289958734525447	1.23719165085389	0.4672675521821632	0.49620493358633777	0.015180265654648957	0.9321631878557874	0.011859582542694497	0.03462998102466793	0.04601518026565465	0.021347248576850095
net.2014-08-29.random.10000-http-www	7378	1874	0.25399837354296556	1.25880469583778	0.3767342582710779	0.5944503735325507	0.0026680896478121665	0.9178228388473852	0.015474919957310566	0.04055496264674493	0.05549626467449306	0.026147278548559232
net.2014-08-29.random.10000-https	26	7	0.2692307692307692	1	0.8571428571428571	0	0	0.42857142857142855	0.42857142857142855	0	0.42857142857142855	0.14285714285714285
net.2014-08-29.random.10000-https-www	28	8	0.2857142857142857	1	0.75	0.125	0	0.625	0.25	0	0.25	0.125
reach50.2014w35.se-http	43	37	0.8604651162790697	1.1891891891891893	0.9459459459459459	0.02702702702702703	0	0.8648648648648649	0.08108108108108109	0.02702702702702703	0.10810810810810811	0.02702702702702703
reach50.2014w35.se-http-www	42	12	0.2857142857142857	1.25	0.8333333333333334	0.08333333333333333	0	0.5833333333333334	0.3333333333333333	0	0.3333333333333333	0.08333333333333333
reach50.2014w35.se-https	18	13	0.7222222222222222	1.4615384615384615	0.9230769230769231	0.07692307692307693	0	0.3076923076923077	0.6923076923076923	0	0.6923076923076923	0
reach50.2014w35.se-https-www	26	17	0.6538461538461539	1.0588235294117647	0.8823529411764706	0.058823529411764705	0	0.47058823529411764	0.47058823529411764	0	0.47058823529411764	0.058823529411764705
se.2014-07-10.random.100000-http	73605	21181	0.28776577678146864	1.2397903781691137	0.5017232425286814	0.43605117794249565	0.011803031018365516	0.9150181766677683	0.02011236485529484	0.014777394834993626	0.03389830508474576	0.05075303337897172
se.2014-07-10.random.100000-http-www	77261	18765	0.24287803678440611	1.2626165734079404	0.41007194244604317	0.5338129496402878	0.0035171862509992004	0.9086597388755662	0.023394617639221956	0.01630695443645084	0.03852917665867306	0.05259792166266986
se.2014-07-10.random.100000-https	282	125	0.4432624113475177	1.32	0.872	0.056	0.008	0.256	0.624	0.056	0.64	0.064
se.2014-07-10.random.100000-https-www	328	115	0.35060975609756095	1.2695652173913043	0.8782608695652174	0.06956521739130435	0.017391304347826087	0.41739130434782606	0.5130434782608696	0.034782608695652174	0.5217391304347826	0.034782608695652174
se.healthstatus.2013.counties-http	18	4	0.2222222222222222	1.25	1	0	0	1	0	0	0	0
se.healthstatus.2013.counties-http-www	21	3	0.14285714285714285	1	1	0	0	1	0	0	0	0
se.healthstatus.2013.counties-https	3	2	0.6666666666666666	1	1	0	0	1	0	0	0	0
se.healthstatus.2013.counties-https-www	6	3	0.5	1	1	0	0	0.6666666666666666	0.3333333333333333	0	0.3333333333333333	0
se.healthstatus.2013.domain-registrars-http	127	90	0.7086614173228346	1.4777777777777779	0.7888888888888889	0.15555555555555556	0.03333333333333333	0.7777777777777778	0.14444444444444443	0.05555555555555555	0.2	0.022222222222222223
se.healthstatus.2013.domain-registrars-http-www	134	55	0.41044776119402987	1.6181818181818182	0.6545454545454545	0.32727272727272727	0	0.6545454545454545	0.2545454545454545	0.07272727272727272	0.32727272727272727	0.01818181818181818
se.healthstatus.2013.domain-registrars-https	40	28	0.7	1.2142857142857142	0.8928571428571429	0.03571428571428571	0.07142857142857142	0.32142857142857145	0.6071428571428571	0.07142857142857142	0.6071428571428571	0
se.healthstatus.2013.domain-registrars-https-www	42	14	0.3333333333333333	1.2142857142857142	0.8571428571428571	0.14285714285714285	0	0.5	0.42857142857142855	0.07142857142857142	0.42857142857142855	0
se.healthstatus.2013.financial-services-http	67	53	0.7910447761194029	1.4528301886792452	0.8679245283018868	0.09433962264150944	0.03773584905660377	0.8301886792452831	0.05660377358490566	0.11320754716981132	0.16981132075471697	0
se.healthstatus.2013.financial-services-http-www	72	36	0.5	1.1944444444444444	0.75	0.2222222222222222	0.027777777777777776	0.75	0.19444444444444445	0.05555555555555555	0.25	0
se.healthstatus.2013.financial-services-https	16	9	0.5625	1.2222222222222223	0.8888888888888888	0.1111111111111111	0	0.2222222222222222	0.7777777777777778	0	0.7777777777777778	0
se.healthstatus.2013.financial-services-https-www	31	10	0.3225806451612903	1.3	0.9	0.1	0	0.5	0.4	0.1	0.4	0
se.healthstatus.2013.gocs-http	49	35	0.7142857142857143	1.2857142857142858	0.8571428571428571	0.11428571428571428	0	0.9428571428571428	0.02857142857142857	0	0.02857142857142857	0.02857142857142857
se.healthstatus.2013.gocs-http-www	57	14	0.24561403508771928	1.5714285714285714	0.5	0.42857142857142855	0	0.8571428571428571	0.07142857142857142	0	0.07142857142857142	0.07142857142857142
se.healthstatus.2013.gocs-https	4	3	0.75	1	1	0	0	0.3333333333333333	0.6666666666666666	0	0.6666666666666666	0
se.healthstatus.2013.gocs-https-www	9	2	0.2222222222222222	2	1	0	0	0	1	0	1	0
se.healthstatus.2013.higher-education-http	40	26	0.65	1.2692307692307692	0.9615384615384616	0.038461538461538464	0	1	0	0	0	0
se.healthstatus.2013.higher-education-http-www	47	10	0.2127659574468085	1.2	0.9	0.1	0	1	0	0	0	0
se.healthstatus.2013.higher-education-https	9	7	0.7777777777777778	1.7142857142857142	1	0	0	0.42857142857142855	0.2857142857142857	0.2857142857142857	0.2857142857142857	0
se.healthstatus.2013.higher-education-https-www	24	8	0.3333333333333333	1.25	1	0	0	0.875	0.125	0	0.125	0
se.healthstatus.2013.isps-http	18	14	0.7777777777777778	1.2857142857142858	1	0	0	0.8571428571428571	0.14285714285714285	0	0.14285714285714285	0
se.healthstatus.2013.isps-http-www	19	7	0.3684210526315789	1.1428571428571428	1	0	0	0.7142857142857143	0.2857142857142857	0	0.2857142857142857	0
se.healthstatus.2013.isps-https	6	4	0.6666666666666666	1	1	0	0	0.5	0.5	0	0.5	0
se.healthstatus.2013.isps-https-www	10	2	0.2	1	1	0	0	1	0	0	0	0
se.healthstatus.2013.media-http	26	22	0.8461538461538461	1.0454545454545454	0.8636363636363636	0.09090909090909091	0.045454545454545456	1	0	0	0	0
se.healthstatus.2013.media-http-www	28	10	0.35714285714285715	1.1	0.7	0.3	0	1	0	0	0	0
se.healthstatus.2013.media-https	4	2	0.5	1.5	1	0	0	1	0	0	0	0
se.healthstatus.2013.media-https-www	5	3	0.6	1	1	0	0	0.6666666666666666	0.3333333333333333	0	0.3333333333333333	0
se.healthstatus.2013.municipalities-http	249	73	0.2931726907630522	1.0547945205479452	0.9863013698630136	0	0.0136986301369863	0.9726027397260274	0.0273972602739726	0	0.0273972602739726	0
se.healthstatus.2013.municipalities-http-www	271	26	0.0959409594095941	1.0769230769230769	0.9230769230769231	0.038461538461538464	0	0.8461538461538461	0.11538461538461539	0	0.11538461538461539	0.038461538461538464
se.healthstatus.2013.municipalities-https	44	23	0.5227272727272727	1.3043478260869565	1	0	0	0.5217391304347826	0.34782608695652173	0.13043478260869565	0.34782608695652173	0
se.healthstatus.2013.municipalities-https-www	54	20	0.37037037037037035	1.05	1	0	0	0.7	0.3	0	0.3	0
se.healthstatus.2013.public-authorities-http	170	84	0.49411764705882355	1.1428571428571428	0.8095238095238095	0.17857142857142858	0.011904761904761904	0.9404761904761905	0.03571428571428571	0.023809523809523808	0.05952380952380952	0
se.healthstatus.2013.public-authorities-http-www	203	54	0.2660098522167488	1.2222222222222223	0.6296296296296297	0.37037037037037035	0	0.8888888888888888	0.09259259259259259	0.018518518518518517	0.1111111111111111	0
se.healthstatus.2013.public-authorities-https	18	9	0.5	1.1111111111111112	1	0	0	0.7777777777777778	0.2222222222222222	0	0.2222222222222222	0
se.healthstatus.2013.public-authorities-https-www	37	12	0.32432432432432434	1.0833333333333333	1	0	0	0.6666666666666666	0.3333333333333333	0	0.3333333333333333	0
